epoch,train_loss,val_loss,lr,elapsed_seconds,stopped_early
0,2.1373295609870655,2.158736644252654,0.001,9.838,False
1,1.3445472703890855,1.317695644594008,0.0009999383779245895,19.818,False
2,1.0611352378062988,1.1501162436700636,0.000999753526902683,29.678,False
3,0.8160661767038067,0.8081961158783205,0.0009994454925435043,39.516,False
4,0.6032099717118767,0.5817997993961457,0.000999014350849922,49.358,False
5,0.4243620794810606,0.38056184399512505,0.0009984602081996978,59.198,False
6,0.27864991245644816,0.24688811888617854,0.0009977832013192388,69.019,False
7,0.16563295991568083,0.15051935901564936,0.0009969834972498627,78.888,False
8,0.09274851204304213,0.09019951209906608,0.000996061293306582,88.756,False
9,0.05227735801861527,0.060989430234316855,0.0009950168170294207,98.594,False
10,0.0402431706531664,0.050196139442343864,0.0009938503261272716,108.438,False
11,0.036143092292078426,0.04617661514109181,0.0009925621084143099,118.463,False
12,0.03173036484068699,0.03381642398815001,0.0009911524817389804,128.475,False
13,0.02756966386785668,0.03028010408724508,0.0009896217939055723,138.524,False
14,0.026453885155614844,0.03351672017766583,0.0009879704225884047,148.732,False
15,0.02848611389067066,0.027525823563337326,0.0009861987752386398,158.778,False
16,0.02395507569811987,0.029011827923597827,0.0009843072889837514,168.792,False
17,0.022485415984907848,0.027496453795221545,0.0009822964305196704,178.58,False
18,0.021146153947443104,0.026831884958571004,0.0009801666959956333,188.44,False
19,0.02183418061709806,0.023570710432625586,0.0009779186108917661,198.305,False
20,0.020820886964041194,0.022002548520122806,0.0009755527298894296,208.102,False
21,0.01931497456736109,0.019874419956918684,0.0009730696367343592,218.122,False
22,0.017753912617316406,0.020638451220527772,0.0009704699440926359,228.139,False
23,0.018315509003534746,0.019716619363715573,0.0009677542933995191,237.971,False
24,0.01802611087312859,0.018407561185379184,0.0009649233547011819,247.953,False
25,0.01786589046961136,0.017284716449437604,0.000961977826489388,257.836,False
26,0.016944712048835967,0.017580077412628358,0.0009589184355291488,267.672,False
27,0.017861276509219343,0.01738683783238934,0.0009557459366794051,277.487,False
28,0.017624175563203486,0.01848717742869931,0.000952461112706777,287.344,False
29,0.01780871515361111,0.018773581892732653,0.0009490647740924278,297.163,False
30,0.017350809585847213,0.01757046009504026,0.00094555775883209,306.973,False
31,0.016117474179338204,0.017179903964842518,0.0009419409322293028,316.821,False
32,0.015294592126450512,0.0156684318076699,0.0009382151866819101,326.63,False
33,0.015379586602362353,0.017220292901319843,0.0009343814414618769,336.527,False
34,0.0163548912622788,0.01636030176474202,0.0009304406424884702,346.343,False
35,0.01527954451739788,0.01802808262648121,0.0009263937620948695,356.129,False
36,0.016059307098974674,0.014512864662514578,0.000922241798788257,366.091,False
37,0.015149766642056155,0.01658311384099145,0.0009179857770034514,375.99,False
38,0.01633435194746832,0.015652342999894774,0.000913626746850144,385.84,False
39,0.01500675900514876,0.013915041581757607,0.0009091657838537996,395.636,False
40,0.014252718674081765,0.014846275981155134,0.0009046039886902867,405.972,False
41,0.01362652885152048,0.01359309998130606,0.0008999424869143022,416.789,False
42,0.013699006435743878,0.013497899827216902,0.0008951824286816578,427.403,False
43,0.013223657217086031,0.014471071261552072,0.000890324988465496,438.013,False
44,0.013728211476896585,0.01391599117027175,0.0008853713647665071,448.299,False
45,0.013477787166164162,0.013109229595190095,0.0008803227798172159,458.52,False
46,0.01356439029776983,0.01249614778545595,0.000875180479280415,468.855,False
47,0.01344905277776919,0.013673642469990638,0.0008699457319418159,479.215,False
48,0.013005087193980646,0.012774797246581125,0.0008646198293969954,489.788,False
49,0.013059096410870552,0.012208667073038316,0.0008592040857327133,500.351,False
50,0.012713718740792756,0.012512441033557538,0.0008536998372026807,510.89,False
51,0.012652396695332581,0.013783934075505502,0.0008481084418978612,521.344,False
52,0.013342559525973342,0.013446071365427586,0.0008424312794113802,531.549,False
53,0.013130570468859057,0.012632459101657714,0.0008366697504981319,541.66,False
54,0.012109361745919405,0.011887474916875362,0.0008308252767291642,551.848,False
55,0.012062787392249938,0.011543422817222534,0.0008248993001409269,562.113,False
56,0.012771157903617688,0.013360330865027444,0.0008188932828794706,572.416,False
57,0.012364622184567237,0.012214230403544442,0.0008128087068396848,582.595,False
58,0.011743643718740244,0.013263664028096584,0.0008066470732996619,592.803,False
59,0.011801194158916393,0.011288282852019034,0.0008004099025502792,603.045,False
60,0.011548903760280503,0.011589888002603285,0.0007940987335200905,613.176,False
61,0.01130993566946702,0.011116743748707155,0.0007877151233956178,623.637,False
62,0.011159432371764371,0.013227977189085176,0.0007812606472371394,635.47,False
63,0.012066237837745903,0.013731376538353582,0.0007747368975900669,645.748,False
