pareto_rank,individual_index,crowding_distance,neg_auroc,latency_ms,peak_ram_mb,energy_mj,candidate,metrics
10,10,0.24360813478264787,-0.8452380952380951,13.683190472920735,1741.9102,9999.0,"{""arch_spec"": {""family"": ""patch_cnn"", ""input_size"": 192, ""depth"": 4, ""channels"": [24, 192, 24, 192], ""kernel_size"": [7, 5, 7, 5], ""block_type"": [""ir"", ""conv"", ""ir"", ""ds""], ""bottleneck_ratio"": [2.0, 2.0, 0.5, 0.5], ""skip_connections"": [true, true, true, false], ""attention"": [""eca"", ""eca"", ""eca"", ""se""]}, ""quant_spec"": {""weight_bits"": [6, 8, 4, 4], ""act_bits"": [6, 6, 4, 4], ""symmetric"": true, ""per_channel"": true, ""mixed_precision"": true, ""global_weight_bits"": 8, ""global_act_bits"": 6, ""layer_weight_bits"": [6, 8, 4, 4], ""layer_act_bits"": [6, 6, 4, 4]}}",{}
11,11,0.24097521859839835,-0.7817460317460319,13.563259633382161,1731.9297,9999.0,"{""arch_spec"": {""family"": ""student_teacher"", ""input_size"": 192, ""depth"": 2, ""channels"": [32, 96], ""kernel_size"": [5, 7], ""block_type"": [""ir"", ""ds""], ""bottleneck_ratio"": [6.0, 1.0], ""skip_connections"": [true, false], ""attention"": [""cbam"", ""none""]}, ""quant_spec"": {""weight_bits"": [6, 4], ""act_bits"": [6, 6], ""symmetric"": false, ""per_channel"": false, ""mixed_precision"": true, ""global_weight_bits"": 6, ""global_act_bits"": 6, ""layer_weight_bits"": [6, 4], ""layer_act_bits"": [6, 6]}}",{}
12,12,0.22737470373817192,-0.8436507936507937,13.47184960047404,1851.7266,9999.0,"{""arch_spec"": {""family"": ""patch_cnn"", ""input_size"": 192, ""depth"": 4, ""channels"": [24, 192, 24, 192], ""kernel_size"": [7, 5, 7, 5], ""block_type"": [""ir"", ""conv"", ""ir"", ""ds""], ""bottleneck_ratio"": [2.0, 2.0, 0.5, 0.5], ""skip_connections"": [true, true, true, false], ""attention"": [""eca"", ""eca"", ""eca"", ""se""]}, ""quant_spec"": {""weight_bits"": [4, 6, 4, 8], ""act_bits"": [6, 4, 8, 6], ""symmetric"": false, ""per_channel"": true, ""mixed_precision"": true, ""global_weight_bits"": 6, ""global_act_bits"": 8, ""layer_weight_bits"": [4, 6, 4, 8], ""layer_act_bits"": [6, 4, 8, 6]}}",{}
13,13,0.18983836800412116,-0.8436507936507937,12.542728519439697,1871.2812,9999.0,"{""arch_spec"": {""family"": ""student_teacher"", ""input_size"": 192, ""depth"": 2, ""channels"": [32, 96], ""kernel_size"": [5, 7], ""block_type"": [""ir"", ""ds""], ""bottleneck_ratio"": [6.0, 1.0], ""skip_connections"": [true, false], ""attention"": [""cbam"", ""none""]}, ""quant_spec"": {""weight_bits"": [6, 4], ""act_bits"": [6, 6], ""symmetric"": false, ""per_channel"": false, ""mixed_precision"": true, ""global_weight_bits"": 6, ""global_act_bits"": 6, ""layer_weight_bits"": [6, 4], ""layer_act_bits"": [6, 6]}}",{}
14,14,0.18146906876839655,-0.8706349206349207,13.683765316009522,1791.1172,9999.0,"{""arch_spec"": {""family"": ""unet"", ""input_size"": 224, ""depth"": 2, ""channels"": [32, 96], ""kernel_size"": [5, 7], ""block_type"": [""ir"", ""ds""], ""bottleneck_ratio"": [6.0, 1.0], ""skip_connections"": [true, false], ""attention"": [""cbam"", ""none""]}, ""quant_spec"": {""weight_bits"": [4, 6], ""act_bits"": [6, 4], ""symmetric"": false, ""per_channel"": true, ""mixed_precision"": true, ""global_weight_bits"": 6, ""global_act_bits"": 8, ""layer_weight_bits"": [4, 6], ""layer_act_bits"": [6, 4]}}",{}
15,15,0.19376261894790583,-0.8761904761904762,14.588816070556641,1854.3203,9999.0,"{""arch_spec"": {""family"": ""unet"", ""input_size"": 224, ""depth"": 2, ""channels"": [32, 96], ""kernel_size"": [5, 7], ""block_type"": [""ir"", ""ds""], ""bottleneck_ratio"": [6.0, 1.0], ""skip_connections"": [true, false], ""attention"": [""cbam"", ""none""]}, ""quant_spec"": {""weight_bits"": [6, 8], ""act_bits"": [8, 8], ""symmetric"": true, ""per_channel"": true, ""mixed_precision"": true, ""global_weight_bits"": 6, ""global_act_bits"": 6, ""layer_weight_bits"": [6, 8], ""layer_act_bits"": [8, 8]}}",{}
16,16,0.20131450816906327,-0.8333333333333333,12.773049640655518,1778.5781,9999.0,"{""arch_spec"": {""family"": ""autoencoder"", ""input_size"": 224, ""depth"": 5, ""channels"": [16, 16, 192, 16, 16], ""kernel_size"": [5, 7, 7, 3, 3], ""block_type"": [""ir"", ""ds"", ""conv"", ""conv"", ""conv""], ""bottleneck_ratio"": [2.0, 1.0, 0.5, 0.5, 0.5], ""skip_connections"": [true, false, false, false, false], ""attention"": [""cbam"", ""none"", ""none"", ""none"", ""none""]}, ""quant_spec"": {""weight_bits"": [6, 8, 4, 4, 4], ""act_bits"": [8, 6, 4, 4, 8], ""symmetric"": true, ""per_channel"": true, ""mixed_precision"": true, ""global_weight_bits"": 8, ""global_act_bits"": 6, ""layer_weight_bits"": [6, 8, 4, 4, 4], ""layer_act_bits"": [8, 6, 4, 4, 8]}}",{}
17,17,0.16094795653886534,-0.8484126984126983,12.68817818959554,1880.6445,9999.0,"{""arch_spec"": {""family"": ""unet"", ""input_size"": 224, ""depth"": 5, ""channels"": [16, 16, 192, 16, 16], ""kernel_size"": [5, 7, 7, 3, 3], ""block_type"": [""ir"", ""ds"", ""conv"", ""conv"", ""conv""], ""bottleneck_ratio"": [2.0, 1.0, 0.5, 0.5, 0.5], ""skip_connections"": [true, false, false, false, false], ""attention"": [""cbam"", ""none"", ""none"", ""none"", ""none""]}, ""quant_spec"": {""weight_bits"": [6, 8, 4, 4, 4], ""act_bits"": [6, 6, 4, 4, 4], ""symmetric"": true, ""per_channel"": true, ""mixed_precision"": true, ""global_weight_bits"": 8, ""global_act_bits"": 6, ""layer_weight_bits"": [6, 8, 4, 4, 4], ""layer_act_bits"": [6, 6, 4, 4, 4]}}",{}
18,18,0.14839904532874154,-0.8365079365079364,13.334169642130535,1852.8516,9999.0,"{""arch_spec"": {""family"": ""autoencoder"", ""input_size"": 256, ""depth"": 4, ""channels"": [48, 48, 192, 16], ""kernel_size"": [3, 3, 5, 7], ""block_type"": [""ir"", ""ir"", ""ir"", ""ds""], ""bottleneck_ratio"": [0.5, 2.0, 2.0, 1.0], ""skip_connections"": [false, false, true, true], ""attention"": [""cbam"", ""eca"", ""none"", ""spatial""]}, ""quant_spec"": {""weight_bits"": [8, 4, 6, 4], ""act_bits"": [6, 8, 8, 4], ""symmetric"": true, ""per_channel"": false, ""mixed_precision"": true, ""global_weight_bits"": 6, ""global_act_bits"": 6, ""layer_weight_bits"": [8, 4, 6, 4], ""layer_act_bits"": [6, 8, 8, 4]}}",{}
19,19,0.14106422023765994,-0.8698412698412699,13.39179417292277,1866.3633,9999.0,"{""arch_spec"": {""family"": ""unet"", ""input_size"": 224, ""depth"": 5, ""channels"": [16, 16, 192, 16, 16], ""kernel_size"": [5, 7, 7, 3, 3], ""block_type"": [""ir"", ""ds"", ""conv"", ""conv"", ""conv""], ""bottleneck_ratio"": [2.0, 1.0, 0.5, 0.5, 0.5], ""skip_connections"": [true, false, false, false, false], ""attention"": [""cbam"", ""spatial"", ""none"", ""none"", ""none""]}, ""quant_spec"": {""weight_bits"": [6, 8, 4, 4, 4], ""act_bits"": [8, 8, 4, 4, 4], ""symmetric"": true, ""per_channel"": true, ""mixed_precision"": true, ""global_weight_bits"": 8, ""global_act_bits"": 6, ""layer_weight_bits"": [6, 8, 4, 4, 4], ""layer_act_bits"": [8, 8, 4, 4, 4]}}",{}
